specification_id,cycle,estimate_margin_dem,environment_margin_dem,input_questions,retained_questions,aggregated_rows,unique_polls,unique_pollsters,effective_sample_size,weighted_mean_poll_age_days
lb21__equal__q_all__sample_sqrt__quality_off__partisan_downweight__poll_level,2022,0.08203245377098871,0.07382920839388984,1364,93,69,69,33,42.575155883601035,12.942482986292356
lb21__equal__q_all__sample_sqrt__quality_off__partisan_downweight__poll_level,2024,-0.07870140014448403,-0.07083126013003563,735,47,34,34,22,32.09971288447408,10.047870859326569
lb21__equal__q_all__sample_sqrt__quality_off__partisan_exclude__poll_level,2018,8.364101804760827,7.527691624284744,1773,141,66,66,19,63.06316447866428,9.756646460564687
lb21__equal__q_all__sample_sqrt__quality_off__partisan_exclude__poll_level,2020,7.726439521842942,6.953795569658648,943,71,61,61,14,51.92370711793631,11.076464915712585
lb21__equal__q_all__sample_sqrt__quality_off__partisan_exclude__poll_level,2022,0.08203245377098871,0.07382920839388984,1364,93,69,69,33,42.575155883601035,12.942482986292356
lb21__equal__q_all__sample_sqrt__quality_off__partisan_exclude__poll_level,2024,-0.07870140014448403,-0.07083126013003563,735,47,34,34,22,32.09971288447408,10.047870859326569
lb21__equal__q_all__sample_sqrt__quality_on__partisan_include__poll_level,2018,8.419458790642711,7.57751291157844,1773,141,66,66,19,62.30316610693472,9.960570993467492
lb21__equal__q_all__sample_sqrt__quality_on__partisan_include__poll_level,2020,7.798792390197705,7.018913151177935,943,71,61,61,14,53.76387285494449,11.028636189139208
lb21__equal__q_all__sample_sqrt__quality_on__partisan_include__poll_level,2022,0.034353120145944015,0.030917808131349613,1364,93,69,69,33,43.92995751186915,13.085818322827155
lb21__equal__q_all__sample_sqrt__quality_on__partisan_include__poll_level,2024,0.07642794765448654,0.06878515288903789,735,47,34,34,22,31.51842871099288,10.248304599345476
lb21__equal__q_all__sample_sqrt__quality_on__partisan_downweight__poll_level,2018,8.419458790642711,7.57751291157844,1773,141,66,66,19,62.30316610693472,9.960570993467492
lb21__equal__q_all__sample_sqrt__quality_on__partisan_downweight__poll_level,2020,7.798792390197705,7.018913151177935,943,71,61,61,14,53.76387285494449,11.028636189139208
lb21__equal__q_all__sample_sqrt__quality_on__partisan_downweight__poll_level,2022,0.034353120145944015,0.030917808131349613,1364,93,69,69,33,43.92995751186915,13.085818322827155
lb21__equal__q_all__sample_sqrt__quality_on__partisan_downweight__poll_level,2024,0.07642794765448654,0.06878515288903789,735,47,34,34,22,31.51842871099288,10.248304599345476
lb21__equal__q_all__sample_sqrt__quality_on__partisan_exclude__poll_level,2018,8.419458790642711,7.57751291157844,1773,141,66,66,19,62.30316610693472,9.960570993467492
lb21__equal__q_all__sample_sqrt__quality_on__partisan_exclude__poll_level,2020,7.798792390197705,7.018913151177935,943,71,61,61,14,53.76387285494449,11.028636189139208
lb21__equal__q_all__sample_sqrt__quality_on__partisan_exclude__poll_level,2022,0.034353120145944015,0.030917808131349613,1364,93,69,69,33,43.92995751186915,13.085818322827155
lb21__equal__q_all__sample_sqrt__quality_on__partisan_exclude__poll_level,2024,0.07642794765448654,0.06878515288903789,735,47,34,34,22,31.51842871099288,10.248304599345476
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_include__poll_level,2018,7.934644158043742,7.141179742239368,1773,78,66,66,19,66.0,9.909090909090908
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_include__poll_level,2020,7.9509735301735835,7.155876177156225,943,61,61,61,14,61.0,10.540983606557377
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_include__poll_level,2022,-0.17489851644192503,-0.15740866479773252,1364,69,69,69,33,69.0,11.594202898550725
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_include__poll_level,2024,-0.13903724800448602,-0.12513352320403742,735,34,34,34,22,34.0,10.235294117647058
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_downweight__poll_level,2018,7.934644158043742,7.141179742239368,1773,78,66,66,19,66.0,9.909090909090908
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_downweight__poll_level,2020,7.9509735301735835,7.155876177156225,943,61,61,61,14,61.0,10.540983606557377
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_downweight__poll_level,2022,-0.17489851644192503,-0.15740866479773252,1364,69,69,69,33,69.0,11.594202898550725
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_downweight__poll_level,2024,-0.13903724800448602,-0.12513352320403742,735,34,34,34,22,34.0,10.235294117647058
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_exclude__poll_level,2018,7.934644158043742,7.141179742239368,1773,78,66,66,19,66.0,9.909090909090908
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_exclude__poll_level,2020,7.9509735301735835,7.155876177156225,943,61,61,61,14,61.0,10.540983606557377
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_exclude__poll_level,2022,-0.17489851644192503,-0.15740866479773252,1364,69,69,69,33,69.0,11.594202898550725
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_exclude__poll_level,2024,-0.13903724800448602,-0.12513352320403742,735,34,34,34,22,34.0,10.235294117647058
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_include__poll_level,2018,7.942659092322865,7.148393183090579,1773,78,66,66,19,64.33472584856399,10.074707185818296
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_include__poll_level,2020,8.04768679647842,7.242918116830578,943,61,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_include__poll_level,2022,-0.258997585330661,-0.2330978267975949,1364,69,69,69,33,67.11910000106286,11.704735376044564
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_include__poll_level,2024,0.04021546297460523,0.03619391667714471,735,34,34,34,22,32.84174097399764,10.386634844868734
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_downweight__poll_level,2018,7.942659092322865,7.148393183090579,1773,78,66,66,19,64.33472584856399,10.074707185818296
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_downweight__poll_level,2020,8.04768679647842,7.242918116830578,943,61,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_downweight__poll_level,2022,-0.258997585330661,-0.2330978267975949,1364,69,69,69,33,67.11910000106286,11.704735376044564
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_downweight__poll_level,2024,0.04021546297460523,0.03619391667714471,735,34,34,34,22,32.84174097399764,10.386634844868734
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_exclude__poll_level,2018,7.942659092322865,7.148393183090579,1773,78,66,66,19,64.33472584856399,10.074707185818296
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_exclude__poll_level,2020,8.04768679647842,7.242918116830578,943,61,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_exclude__poll_level,2022,-0.258997585330661,-0.2330978267975949,1364,69,69,69,33,67.11910000106286,11.704735376044564
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_exclude__poll_level,2024,0.04021546297460523,0.03619391667714471,735,34,34,34,22,32.84174097399764,10.386634844868734
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_include__poll_level,2018,7.867247182017028,7.080522463815325,1773,78,66,66,19,63.20596556377891,9.722423187880251
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_include__poll_level,2020,7.7181564240304334,6.9463407816273905,943,61,61,61,14,51.784926589993255,11.086116190611186
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_include__poll_level,2022,-0.044857030095844734,-0.04037132708626026,1364,69,69,69,33,41.730523520484496,12.985923570734666
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_include__poll_level,2024,-0.15436557390367955,-0.1389290165133116,735,34,34,34,22,32.30929473494326,10.066270546615323
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_downweight__poll_level,2018,7.867247182017028,7.080522463815325,1773,78,66,66,19,63.20596556377891,9.722423187880251
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_downweight__poll_level,2020,7.7181564240304334,6.9463407816273905,943,61,61,61,14,51.784926589993255,11.086116190611186
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_downweight__poll_level,2022,-0.044857030095844734,-0.04037132708626026,1364,69,69,69,33,41.730523520484496,12.985923570734666
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_downweight__poll_level,2024,-0.15436557390367955,-0.1389290165133116,735,34,34,34,22,32.30929473494326,10.066270546615323
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_exclude__poll_level,2018,7.867247182017028,7.080522463815325,1773,78,66,66,19,63.20596556377891,9.722423187880251
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_exclude__poll_level,2020,7.7181564240304334,6.9463407816273905,943,61,61,61,14,51.784926589993255,11.086116190611186
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_exclude__poll_level,2022,-0.044857030095844734,-0.04037132708626026,1364,69,69,69,33,41.730523520484496,12.985923570734666
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_exclude__poll_level,2024,-0.15436557390367955,-0.1389290165133116,735,34,34,34,22,32.30929473494326,10.066270546615323
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_include__poll_level,2018,7.861519817223735,7.075367835501362,1773,78,66,66,19,63.13852019935288,9.924083233386055
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_include__poll_level,2020,7.786455328781419,7.0078097959032775,943,61,61,61,14,53.62293548975215,11.036992687400287
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_include__poll_level,2022,-0.11104682687051778,-0.099942144183466,1364,69,69,69,33,43.03795247705282,13.134695551576158
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_include__poll_level,2024,0.007445645450520397,0.006701080905468357,735,34,34,34,22,31.607453374074574,10.2625856936119
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_downweight__poll_level,2018,7.861519817223735,7.075367835501362,1773,78,66,66,19,63.13852019935288,9.924083233386055
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_downweight__poll_level,2020,7.786455328781419,7.0078097959032775,943,61,61,61,14,53.62293548975215,11.036992687400287
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_downweight__poll_level,2022,-0.11104682687051778,-0.099942144183466,1364,69,69,69,33,43.03795247705282,13.134695551576158
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_downweight__poll_level,2024,0.007445645450520397,0.006701080905468357,735,34,34,34,22,31.607453374074574,10.2625856936119
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_exclude__poll_level,2018,7.861519817223735,7.075367835501362,1773,78,66,66,19,63.13852019935288,9.924083233386055
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_exclude__poll_level,2020,7.786455328781419,7.0078097959032775,943,61,61,61,14,53.62293548975215,11.036992687400287
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_exclude__poll_level,2022,-0.11104682687051778,-0.099942144183466,1364,69,69,69,33,43.03795247705282,13.134695551576158
lb21__equal__q_prefer_lv__sample_sqrt__quality_on__partisan_exclude__poll_level,2024,0.007445645450520397,0.006701080905468357,735,34,34,34,22,31.607453374074574,10.2625856936119
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_include__poll_level,2018,8.13731427313485,7.323582845821365,1773,66,66,66,19,66.0,9.909090909090908
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_include__poll_level,2020,7.9789967049875266,7.181097034488774,943,61,61,61,14,61.0,10.540983606557377
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_include__poll_level,2022,0.03125924397591973,0.02813331957832776,1364,69,69,69,33,69.0,11.594202898550725
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_include__poll_level,2024,-0.03394489084854586,-0.03055040176369127,735,34,34,34,22,34.0,10.235294117647058
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_downweight__poll_level,2018,8.13731427313485,7.323582845821365,1773,66,66,66,19,66.0,9.909090909090908
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_downweight__poll_level,2020,7.9789967049875266,7.181097034488774,943,61,61,61,14,61.0,10.540983606557377
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_downweight__poll_level,2022,0.03125924397591973,0.02813331957832776,1364,69,69,69,33,69.0,11.594202898550725
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_downweight__poll_level,2024,-0.03394489084854586,-0.03055040176369127,735,34,34,34,22,34.0,10.235294117647058
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_exclude__poll_level,2018,8.13731427313485,7.323582845821365,1773,66,66,66,19,66.0,9.909090909090908
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_exclude__poll_level,2020,7.9789967049875266,7.181097034488774,943,61,61,61,14,61.0,10.540983606557377
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_exclude__poll_level,2022,0.03125924397591973,0.02813331957832776,1364,69,69,69,33,69.0,11.594202898550725
lb21__equal__q_prefer_rv__sample_equal__quality_off__partisan_exclude__poll_level,2024,-0.03394489084854586,-0.03055040176369127,735,34,34,34,22,34.0,10.235294117647058
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_include__poll_level,2018,8.197812309630676,7.378031078667608,1773,66,66,66,19,64.33472584856399,10.074707185818296
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_include__poll_level,2020,8.085152058721349,7.276636852849214,943,61,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_include__poll_level,2022,-0.01262355574398876,-0.011361200169589884,1364,69,69,69,33,67.11910000106286,11.704735376044564
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_include__poll_level,2024,0.13846386176499634,0.1246174755884967,735,34,34,34,22,32.84174097399764,10.386634844868734
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_downweight__poll_level,2018,8.197812309630676,7.378031078667608,1773,66,66,66,19,64.33472584856399,10.074707185818296
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_downweight__poll_level,2020,8.085152058721349,7.276636852849214,943,61,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_downweight__poll_level,2022,-0.01262355574398876,-0.011361200169589884,1364,69,69,69,33,67.11910000106286,11.704735376044564
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_downweight__poll_level,2024,0.13846386176499634,0.1246174755884967,735,34,34,34,22,32.84174097399764,10.386634844868734
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_exclude__poll_level,2018,8.197812309630676,7.378031078667608,1773,66,66,66,19,64.33472584856399,10.074707185818296
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_exclude__poll_level,2020,8.085152058721349,7.276636852849214,943,61,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_exclude__poll_level,2022,-0.01262355574398876,-0.011361200169589884,1364,69,69,69,33,67.11910000106286,11.704735376044564
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_exclude__poll_level,2024,0.13846386176499634,0.1246174755884967,735,34,34,34,22,32.84174097399764,10.386634844868734
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_include__poll_level,2018,8.163222169709476,7.346899952738529,1773,66,66,66,19,62.463647521127726,9.666276483603484
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_include__poll_level,2020,7.734679880062679,6.9612118920564106,943,61,61,61,14,52.05772086974827,11.066863440003642
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_include__poll_level,2022,0.08560887662892702,0.07704798896603432,1364,69,69,69,33,42.601377695262464,12.946189645840162
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_include__poll_level,2024,-0.004848094740099866,-0.004363285266089879,735,34,34,34,22,31.8728628634861,10.029911531190557
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_downweight__poll_level,2018,8.163222169709476,7.346899952738529,1773,66,66,66,19,62.463647521127726,9.666276483603484
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_downweight__poll_level,2020,7.734679880062679,6.9612118920564106,943,61,61,61,14,52.05772086974827,11.066863440003642
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_downweight__poll_level,2022,0.08560887662892702,0.07704798896603432,1364,69,69,69,33,42.601377695262464,12.946189645840162
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_downweight__poll_level,2024,-0.004848094740099866,-0.004363285266089879,735,34,34,34,22,31.8728628634861,10.029911531190557
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_exclude__poll_level,2018,8.163222169709476,7.346899952738529,1773,66,66,66,19,62.463647521127726,9.666276483603484
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_exclude__poll_level,2020,7.734679880062679,6.9612118920564106,943,61,61,61,14,52.05772086974827,11.066863440003642
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_exclude__poll_level,2022,0.08560887662892702,0.07704798896603432,1364,69,69,69,33,42.601377695262464,12.946189645840162
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_exclude__poll_level,2024,-0.004848094740099866,-0.004363285266089879,735,34,34,34,22,31.8728628634861,10.029911531190557
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_include__poll_level,2018,8.210738187931817,7.389664369138635,1773,66,66,66,19,62.31581770407804,9.88176321991289
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_include__poll_level,2020,7.811061923134736,7.029955730821262,943,61,61,61,14,53.89984785546151,11.020325431237236
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_include__poll_level,2022,0.049663329231671945,0.04469699630850475,1364,69,69,69,33,43.984299896021206,13.083287798454638
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_include__poll_level,2024,0.14386848265833252,0.12948163439249927,735,34,34,34,22,31.412702687167133,10.234342690174623
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_downweight__poll_level,2018,8.210738187931817,7.389664369138635,1773,66,66,66,19,62.31581770407804,9.88176321991289
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_downweight__poll_level,2020,7.811061923134736,7.029955730821262,943,61,61,61,14,53.89984785546151,11.020325431237236
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_downweight__poll_level,2022,0.049663329231671945,0.04469699630850475,1364,69,69,69,33,43.984299896021206,13.083287798454638
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_downweight__poll_level,2024,0.14386848265833252,0.12948163439249927,735,34,34,34,22,31.412702687167133,10.234342690174623
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_exclude__poll_level,2018,8.210738187931817,7.389664369138635,1773,66,66,66,19,62.31581770407804,9.88176321991289
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_exclude__poll_level,2020,7.811061923134736,7.029955730821262,943,61,61,61,14,53.89984785546151,11.020325431237236
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_exclude__poll_level,2022,0.049663329231671945,0.04469699630850475,1364,69,69,69,33,43.984299896021206,13.083287798454638
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_exclude__poll_level,2024,0.14386848265833252,0.12948163439249927,735,34,34,34,22,31.412702687167133,10.234342690174623
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_include__poll_level,2018,8.75636603871705,7.880729434845346,1773,66,66,66,19,66.0,9.909090909090908
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_include__poll_level,2020,7.9789967049875266,7.181097034488774,943,61,61,61,14,61.0,10.540983606557377
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_include__poll_level,2022,0.1275762059162487,0.11481858532462384,1364,70,69,69,33,69.0,11.594202898550725
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_include__poll_level,2024,-0.049413911556408244,-0.04447252040076742,735,36,34,34,22,34.0,10.235294117647058
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_downweight__poll_level,2018,8.75636603871705,7.880729434845346,1773,66,66,66,19,66.0,9.909090909090908
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_downweight__poll_level,2020,7.9789967049875266,7.181097034488774,943,61,61,61,14,61.0,10.540983606557377
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_downweight__poll_level,2022,0.1275762059162487,0.11481858532462384,1364,70,69,69,33,69.0,11.594202898550725
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_downweight__poll_level,2024,-0.049413911556408244,-0.04447252040076742,735,36,34,34,22,34.0,10.235294117647058
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_exclude__poll_level,2018,8.75636603871705,7.880729434845346,1773,66,66,66,19,66.0,9.909090909090908
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_exclude__poll_level,2020,7.9789967049875266,7.181097034488774,943,61,61,61,14,61.0,10.540983606557377
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_exclude__poll_level,2022,0.1275762059162487,0.11481858532462384,1364,70,69,69,33,69.0,11.594202898550725
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_exclude__poll_level,2024,-0.049413911556408244,-0.04447252040076742,735,36,34,34,22,34.0,10.235294117647058
lb21__equal__q_largest_sample__sample_equal__quality_on__partisan_include__poll_level,2018,8.871953921121756,7.98475852900958,1773,66,66,66,19,64.33472584856399,10.074707185818296
lb21__equal__q_largest_sample__sample_equal__quality_on__partisan_include__poll_level,2020,8.085152058721349,7.276636852849214,943,61,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_largest_sample__sample_equal__quality_on__partisan_include__poll_level,2022,0.08942171721230265,0.08047954549107238,1364,70,69,69,33,67.11910000106286,11.704735376044564
lb21__equal__q_largest_sample__sample_equal__quality_on__partisan_include__poll_level,2024,0.12047204929491298,0.10842484436542169,735,36,34,34,22,32.84174097399764,10.386634844868734
lb21__equal__q_largest_sample__sample_equal__quality_on__partisan_downweight__poll_level,2018,8.871953921121756,7.98475852900958,1773,66,66,66,19,64.33472584856399,10.074707185818296
lb21__equal__q_largest_sample__sample_equal__quality_on__partisan_downweight__poll_level,2020,8.085152058721349,7.276636852849214,943,61,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_largest_sample__sample_equal__quality_on__partisan_downweight__poll_level,2022,0.08942171721230265,0.08047954549107238,1364,70,69,69,33,67.11910000106286,11.704735376044564
