specification_id,scored_cycles,raw_mae,raw_rmse,raw_mean_error,raw_max_absolute_error,environment_mae,environment_rmse,environment_mean_error,environment_max_absolute_error,mean_effective_sample_size,mean_weighted_poll_age_days,minimum_unique_polls,lookback_days,recency_mode,recency_half_life_days,population_mode,question_selection_mode,duplicate_mode,sample_size_weighting,pollster_quality_weighting,partisan_mode,partisan_weight,complexity_score,estimate_2024_margin_dem,environment_2024_margin_dem,unique_polls_2024,unique_pollsters_2024,effective_sample_size_2024,weighted_mean_poll_age_days_2024,simplicity_adjusted_score,environment_rank,simplicity_adjusted_rank,pareto_optimal
lb60__hl14__q_largest_sample__sample_sqrt__quality_off__partisan_include__poll_level,3,3.14596300593189,3.714155863966504,3.14596300593189,4.997318269952068,2.8897389681673133,3.3571007855988344,2.5696528845949893,4.25150526974069,94.52359685020541,17.1206238708543,161,60,half_life,14.0,all,largest_sample,poll,True,False,include,0.5,3,0.287931389241005,0.25913825031690446,60,26,39.35580786401141,12.982994008171357,2.979738968167313,145,148,True
lb45__hl30__q_largest_sample__sample_sqrt__quality_off__partisan_include__poll_level,3,3.2747836363406555,3.7953805674438046,3.2747836363406555,4.953790224562152,2.898114030452478,3.4243158162391203,2.685591451962877,4.212330028889765,103.45887948485301,18.995359190952172,126,45,half_life,30.0,all,largest_sample,poll,True,False,include,0.5,3,0.29255616324348144,0.2633005469191333,50,25,43.79813634347544,14.464916138922339,2.988114030452478,172,177,True
lb30__equal__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3,3.0234434222509434,3.6751318349075563,3.0234434222509434,5.149886211641768,2.915533808065389,3.3279087294238985,2.459385259282137,4.38881641726142,73.1204075678548,15.61591168403765,83,30,equal,,all,all,poll,True,False,include,0.5,1,-0.01992722556219425,-0.017934503005974826,40,25,37.74954128652211,12.709299467838393,2.945533808065389,214,65,True
lb30__equal__q_all__sample_equal__quality_off__partisan_include__poll_level,3,3.0347505220993085,3.7291593163876118,3.0347505220993085,5.430048036640539,2.9271382108793795,3.3635471150629397,2.4695616491456653,4.640962059760314,90.0,14.878955214798587,83,30,equal,,all,all,poll,False,False,include,0.5,0,-0.024626449025134355,-0.02216380412262092,40,25,40.0,12.675,2.9271382108793795,259,41,True
lb45__equal__q_prefer_lv__sample_equal__quality_on__partisan_include__poll_level,3,3.17131417467084,3.7635469774939767,3.17131417467084,5.127871485668837,2.9311108049481867,3.4002029847151913,2.592468936460044,4.3690031638857825,129.478404548263,22.42777129639917,126,45,equal,,all,prefer_lv,poll,False,True,include,0.5,2,0.477873793776157,0.43008641439854134,50,25,48.353322238574016,17.9104,2.9911108049481867,289,189,True
lb45__hl14__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3,2.9730283012891694,3.6476081404916356,2.9730283012891694,5.0582993539918135,2.9345253637532465,3.314932868669121,2.41401165041654,4.306388245376461,85.37249246103858,15.177095259258609,126,45,half_life,14.0,all,all,poll,True,False,include,0.5,2,0.181161083826283,0.1630449754436547,50,25,37.426736731533445,11.766501295643609,2.9945253637532465,304,202,True
lb45__hl21__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3,3.0740574395001032,3.7052345413814436,3.0740574395001032,4.993578091116499,2.9496858463676907,3.3648423580884126,2.504937874806381,4.248139108788678,97.28342752254356,17.507383461856705,126,45,half_life,21.0,all,all,poll,True,False,include,0.5,2,0.20179435040563426,0.18161491536507085,50,25,41.660977897548726,13.342527349640205,3.0096858463676908,376,252,True
lb45__equal__q_prefer_lv__sample_equal__quality_off__partisan_include__poll_level,3,3.1246456834088563,3.739575367759364,3.1246456834088563,5.035018374012841,2.95256817761627,3.3903118951046802,2.5504672943242586,4.285435363395386,132.33333333333334,22.384779824511238,126,45,equal,,all,prefer_lv,poll,False,False,include,0.5,1,0.2852396805479806,0.25671571249318254,50,25,50.0,17.54,2.98256817761627,391,158,True
lb60__hl14__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3,3.0017124738113403,3.66782254612698,3.0017124738113403,4.991715026622677,2.9552154191626436,3.3377935839829047,2.439827405686495,4.246462350744238,94.57587711640495,17.161331940340613,161,60,half_life,14.0,all,all,poll,True,False,include,0.5,2,0.22099836155857122,0.1988985254027141,60,26,39.695748947569385,12.977191149453414,3.0152154191626437,406,280,True
lb45__hl30__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3,3.1381680116901554,3.744853727354997,3.1381680116901554,4.9482861864270085,2.959610225454488,3.3995256197851904,2.5626373897774277,4.207376394568136,103.49251261134113,19.03565144061865,126,45,half_life,30.0,all,all,poll,True,False,include,0.5,2,0.22660148904837868,0.20394134014354082,50,25,44.09378538919252,14.443331346364356,3.019610225454488,427,299,True
lb45__equal__q_all__sample_equal__quality_off__partisan_include__poll_level,3,3.2195550848787504,3.8106128369636587,3.2195550848787504,5.047841327527074,2.977036829097839,3.450609297934952,2.635885755647163,4.296976021558196,132.33333333333334,22.384779824511238,126,45,equal,,all,all,poll,False,False,include,0.5,0,0.3382120288672702,0.3043908259805432,50,25,50.0,17.54,2.977036829097839,520,141,True
lb60__hl21__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3,3.1173899624323256,3.740548261640412,3.1173899624323256,4.887862984749326,2.9797742307435846,3.4035724260718854,2.543937145445381,4.152995513058222,114.794294012284,20.75631176002332,161,60,half_life,21.0,all,all,poll,True,False,include,0.5,2,0.2760326510421589,0.24842938593794303,60,26,46.106766261884665,15.482482247380295,3.0397742307435847,535,384,True
lb60__hl21__q_prefer_lv__sample_sqrt__quality_off__partisan_include__poll_level,3,3.0269210586624546,3.6871045521997123,2.9720994875373243,4.880499801544206,3.0287610722740204,3.375281011055859,2.4131757180398794,4.146368648173613,114.0432403444106,20.75861151851001,161,60,half_life,21.0,all,prefer_lv,poll,True,False,include,0.5,3,0.20056904887654853,0.18051214398889368,60,26,46.46065362304026,15.490049174863868,3.11876107227402,736,691,True
lb90__hl21__q_prefer_lv__sample_sqrt__quality_off__partisan_include__poll_level,3,3.0824168811665893,3.7337941131291874,2.9987929042206196,4.880414573441017,3.078707312527742,3.423181129991081,2.437199793054846,4.146291942880746,131.64943987676406,24.681880023421442,224,90,half_life,21.0,all,prefer_lv,poll,True,False,include,0.5,3,0.38968134340088767,0.3507132090607989,86,32,54.79603979701561,20.242420154436722,3.168707312527742,865,838,True
