race_id,dem_candidate,gop_candidate,general_election_party_structure,dem_fec_candidate_id,gop_fec_candidate_id,dem_fec_status,gop_fec_status,dem_match_method,gop_match_method,dem_is_incumbent,gop_is_incumbent,dem_is_open_seat_candidate,gop_is_open_seat_candidate
NY-4,LAURA A GILLEN,ANTHONY P DâESPOSITO,D_vs_R,H2NY04244,H2NY04277,C,C,high_confidence_automatic,manual_override,False,False,False,False
NY-10,DANIEL GOLDMAN,BENINE A HAMDAN,D_vs_R,H2NY10308,H2NY10134,C,C,high_confidence_automatic,high_confidence_automatic,False,False,False,False
NY-18,PATRICK RYAN,COLIN J SCHMITT,D_vs_R,H8NY19223,H2NY18087,C,C,high_confidence_automatic,high_confidence_automatic,False,False,False,False
NY-19,JOSH RILEY,MARCUS MOLINARO,D_vs_R,H8NY22177,H2NY19127,C,C,high_confidence_automatic,high_confidence_automatic,False,False,False,False
NY-22,FRANCIS CONOLE,BRANDON M WILLIAMS,D_vs_R,H0NY24063,H2NY22212,C,C,high_confidence_automatic,high_confidence_automatic,False,False,False,False
OR-5,JAMIE MCLEOD-SKINNER,LORI CHAVEZ-DEREMER,D_vs_R,H8OR02161,H2OR05209,C,C,high_confidence_automatic,high_confidence_automatic,False,False,False,False
SC-7,DARYL W SCOTT,RUSSELL FRY,D_vs_R,H2SC07314,H2SC07280,C,C,high_confidence_automatic,high_confidence_automatic,False,False,False,False
TX-15,MICHELLE VALLEJO,MONICA DE LA CRUZ,D_vs_R,H2TX15203,H0TX15124,C,C,high_confidence_automatic,high_confidence_automatic,False,False,False,False
TX-35,GREG CASAR,DAN MCQUEEN,D_vs_R,H2TX35144,H0TX20124,C,C,high_confidence_automatic,high_confidence_automatic,False,False,False,False
WA-3,MARIE GLUESENKAMP PEREZ,JOE KENT,D_vs_R,H2WA03217,H2WA03100,C,C,high_confidence_automatic,high_confidence_automatic,False,False,False,False
WY-AL,LYNNETTE GREYBULL,HARRIET HAGEMAN,D_vs_R,H0WY01036,H2WY00166,C,C,high_confidence_automatic,high_confidence_automatic,False,False,False,False
