generic_ballot_coefficient,cycle,observation_count,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins,predicted_dem_wins,expected_dem_wins,predicted_win_count_error,expected_win_count_error
0.7,2020,407,407,2.634467636319436,5.365245961120071,4.05564566,7.12582817297455,0.9459459459459459,0.0462985131630347,0.16477688942884064,203,201,206.0184922080271,-2,3.018492208027112
0.7,2022,400,400,-0.32109459737375057,4.61029396166825,3.6379478099999965,6.138720498159554,0.9525,0.04245565465638277,0.14836726595038377,204,199,193.22413208731808,-5,-10.775867912681917
0.75,2016,345,345,0.897336164582319,8.76443770206174,7.7158386999999955,10.946449037239653,0.936231884057971,0.043616881424058083,0.15660228480517616,149,153,158.30296811577864,4,9.30296811577864
0.75,2018,393,393,-1.7973891944473284,5.46150834494453,3.9626262499999996,7.526340914759971,0.9312977099236641,0.05044760731525985,0.17857358637673712,200,181,189.284096385418,-19,-10.715903614582004
0.75,2020,407,407,2.9744676363194373,5.481706389129899,4.11939606,7.25840651544504,0.9459459459459459,0.04618553439581996,0.16525962133905253,203,201,207.49506780197527,-2,4.495067801975267
0.75,2022,400,400,-0.3810945973737488,4.61419396166825,3.6359256050000024,6.142151146480289,0.9525,0.042564174230583986,0.14861879544298595,204,199,192.97664362641524,-5,-11.023356373584761
0.8,2016,345,345,0.9273361645823178,8.765268458583478,7.72827172,10.948949113716798,0.936231884057971,0.04366000438767503,0.15672752711307897,149,153,158.4207675422566,4,9.420767542256613
0.8,2018,393,393,-1.4323891944473286,5.407797254221884,4.023936449999997,7.447612936588702,0.9389312977099237,0.04984547488721379,0.17715881391898022,200,184,190.9147629064218,-16,-9.0852370935782
0.8,2020,407,407,3.314467636319437,5.613735214879285,4.175191950000002,7.40423548627083,0.9459459459459459,0.04615227170315895,0.16593266342838026,203,201,208.98006064137917,-2,5.980060641379168
0.8,2022,400,400,-0.4410945973737499,4.61809396166825,3.6656299899999993,6.1461656386639945,0.9525,0.04267503547125908,0.1488760363186275,204,199,192.72914553581904,-5,-11.270854464180957
0.85,2016,345,345,0.9573361645823184,8.766224980322608,7.698271720000001,10.95153080005872,0.936231884057971,0.043703776897711905,0.1568543457596848,149,153,158.53863076373696,4,9.538630763736961
0.85,2018,393,393,-1.0673891944473293,5.368822313285497,4.2109096699999995,7.386103122844742,0.9440203562340967,0.049341652426558254,0.17597780932806378,200,186,192.55620081369247,-14,-7.44379918630753
0.85,2020,407,407,3.6544676363194366,5.762017430338744,4.472321440000016,7.56254858687529,0.9484029484029484,0.04620021808041916,0.16679709955190827,203,204,210.47350039402613,1,7.473500394026132
0.85,2022,400,400,-0.5010945973737502,4.6222617869082505,3.671338420000003,6.150762831517635,0.9525,0.04278823745148834,0.14913898880095888,204,199,192.48163769430906,-5,-11.518362305690943
0.9,2016,345,345,0.9873361645823182,8.767181502061739,7.668271720000001,10.954194038563939,0.9391304347826087,0.04374819940324001,0.15698274159891307,149,154,158.6565578510706,5,9.656557851070602
0.9,2018,393,393,-0.7023891944473285,5.355738070908906,4.151283689000002,7.3422442229437115,0.9465648854961832,0.04893814704200213,0.17503210889571869,200,187,194.20836746716205,-13,-5.791632532837951
0.9,2020,407,407,3.994467636319437,5.924049274697466,4.750283149999998,7.732579073087236,0.9508599508599509,0.046330810683377154,0.16785401638080638,203,205,211.97540107767495,2,8.975401077674945
0.9,2022,400,400,-0.5610945973737489,4.627319116118249,3.6501147950000012,6.155941419576999,0.9525,0.04290377918766167,0.1494076531162596,204,199,192.2341199952661,-5,-11.765880004733901
0.95,2016,345,345,1.0173361645823182,8.76813802380087,7.6382717200000005,10.956938769765241,0.9391304347826087,0.04379327235115495,0.15711271548562697,149,154,158.7745488744933,5,9.774548874493291
0.95,2018,393,393,-0.33738919444732857,5.364410614224937,4.083486109999997,7.3163536763475125,0.9516539440203562,0.048636878431399,0.17432324119093653,200,189,195.87119723214084,-11,-4.128802767859156
0.95,2020,407,407,4.334467636319437,6.096987308003958,4.952956710000002,7.9135717039933295,0.9484029484029484,0.04654542379434979,0.16910450133868574,203,206,213.48576025267124,3,10.485760252671241
0.95,2022,400,400,-0.62109459737375,4.63271911611825,3.672739175,6.161699936945042,0.9525,0.043021659638796256,0.1496820294931005,204,199,191.98659234671075,-5,-12.01340765328925
1.0,2016,345,345,1.0473361645823192,8.76909454554,7.613627980000004,10.959764932436261,0.9391304347826087,0.04383899618615361,0.15724426827562518,149,154,158.89260390362136,5,9.892603903621364
1.0,2018,393,393,0.027610805552670703,5.391738514886514,4.195903800000001,7.3086224423934505,0.9516539440203562,0.04843966869429824,0.17385272370032448,200,189,197.5446004576829,-11,-2.45539954231711
1.0,2020,407,407,4.674467636319436,6.279422931345481,5.247436313000001,8.104792107570749,0.9508599508599509,0.04684536169231473,0.17054964043689827,203,209,215.00455825830448,6,12.004558258304485
1.0,2022,400,400,-0.68109459737375,4.63861635001825,3.725271299999998,6.1680367593451795,0.9525,0.04314187770586007,0.14996211816200605,204,199,191.73905467133838,-5,-12.26094532866162
