forecast_cycle,boundary_cycle,presidential_result_year,race_id,state,district,dem_presidential_candidate,gop_presidential_candidate,dem_presidential_share,gop_presidential_share,district_pres_margin_dem,major_party_share_total,source_name,source_file,source_boundary_description,warehouse_version,presidential_result_available,boundary_compatibility,presidential_baseline_available,baseline_selection_method
2016,2016,2012,AR-3,AR,3,Obama,Romney,31.6,65.5,-33.9,97.1,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AR-4,AR,4,Obama,Romney,35.9,61.8,-25.9,97.69999999999999,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AZ-1,AZ,1,Obama,Romney,47.9,50.4,-2.5,98.3,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AZ-2,AZ,2,Obama,Romney,48.4,49.9,-1.5,98.3,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AZ-3,AZ,3,Obama,Romney,61.4,36.9,24.5,98.3,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AZ-4,AZ,4,Obama,Romney,31.0,67.2,-36.2,98.2,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AZ-5,AZ,5,Obama,Romney,34.6,63.8,-29.199999999999996,98.4,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AZ-6,AZ,6,Obama,Romney,38.8,59.5,-20.700000000000003,98.3,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AZ-7,AZ,7,Obama,Romney,71.7,26.5,45.2,98.2,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AZ-8,AZ,8,Obama,Romney,36.9,61.7,-24.800000000000004,98.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AZ-9,AZ,9,Obama,Romney,51.1,46.6,4.5,97.7,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-1,CA,1,Obama,Romney,40.3,56.6,-16.300000000000004,96.9,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-10,CA,10,Obama,Romney,50.6,47.0,3.6000000000000014,97.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-11,CA,11,Obama,Romney,67.6,30.0,37.599999999999994,97.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-12,CA,12,Obama,Romney,84.1,12.5,71.6,96.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-13,CA,13,Obama,Romney,87.5,9.0,78.5,96.5,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-14,CA,14,Obama,Romney,74.2,23.6,50.6,97.80000000000001,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-15,CA,15,Obama,Romney,68.0,29.8,38.2,97.8,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-16,CA,16,Obama,Romney,58.6,39.4,19.200000000000003,98.0,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-17,CA,17,Obama,Romney,71.9,25.5,46.400000000000006,97.4,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-18,CA,18,Obama,Romney,68.2,28.9,39.300000000000004,97.1,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-19,CA,19,Obama,Romney,71.2,26.5,44.7,97.7,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-2,CA,2,Obama,Romney,69.0,27.0,42.0,96.0,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-20,CA,20,Obama,Romney,70.9,26.2,44.7,97.10000000000001,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-21,CA,21,Obama,Romney,54.6,43.5,11.100000000000001,98.1,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-22,CA,22,Obama,Romney,41.6,56.6,-15.0,98.2,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-23,CA,23,Obama,Romney,36.1,61.5,-25.4,97.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-24,CA,24,Obama,Romney,54.1,43.1,11.0,97.2,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-25,CA,25,Obama,Romney,47.8,49.7,-1.9000000000000057,97.5,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-26,CA,26,Obama,Romney,54.0,43.7,10.299999999999997,97.7,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-27,CA,27,Obama,Romney,62.6,35.0,27.6,97.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-28,CA,28,Obama,Romney,70.3,26.5,43.8,96.8,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-29,CA,29,Obama,Romney,77.0,20.5,56.5,97.5,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-3,CA,3,Obama,Romney,54.3,43.1,11.199999999999996,97.4,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-30,CA,30,Obama,Romney,65.3,32.1,33.199999999999996,97.4,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-31,CA,31,Obama,Romney,57.2,40.6,16.6,97.80000000000001,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-32,CA,32,Obama,Romney,65.2,32.5,32.7,97.7,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-33,CA,33,Obama,Romney,60.6,36.8,23.800000000000004,97.4,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-34,CA,34,Obama,Romney,83.0,14.1,68.9,97.1,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-35,CA,35,Obama,Romney,67.4,30.6,36.800000000000004,98.0,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-36,CA,36,Obama,Romney,50.7,47.5,3.200000000000003,98.2,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-37,CA,37,Obama,Romney,84.9,12.7,72.2,97.60000000000001,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-38,CA,38,Obama,Romney,64.9,33.0,31.900000000000006,97.9,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-39,CA,39,Obama,Romney,47.1,50.8,-3.6999999999999957,97.9,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-4,CA,4,Obama,Romney,39.5,57.9,-18.4,97.4,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-40,CA,40,Obama,Romney,81.5,16.5,65.0,98.0,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-41,CA,41,Obama,Romney,61.5,36.3,25.200000000000003,97.8,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-42,CA,42,Obama,Romney,41.4,56.5,-15.100000000000001,97.9,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-43,CA,43,Obama,Romney,78.0,20.0,58.0,98.0,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-44,CA,44,Obama,Romney,84.7,13.6,71.10000000000001,98.3,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-45,CA,45,Obama,Romney,43.0,54.8,-11.799999999999997,97.8,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-46,CA,46,Obama,Romney,61.4,36.2,25.199999999999996,97.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-47,CA,47,Obama,Romney,60.0,37.5,22.5,97.5,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-48,CA,48,Obama,Romney,43.0,54.7,-11.700000000000003,97.7,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-49,CA,49,Obama,Romney,45.7,52.4,-6.699999999999996,98.1,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-5,CA,5,Obama,Romney,69.7,27.5,42.2,97.2,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-50,CA,50,Obama,Romney,37.6,60.4,-22.799999999999997,98.0,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-51,CA,51,Obama,Romney,69.4,28.9,40.50000000000001,98.30000000000001,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-52,CA,52,Obama,Romney,52.1,45.7,6.399999999999999,97.80000000000001,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-53,CA,53,Obama,Romney,61.4,36.4,25.0,97.8,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-6,CA,6,Obama,Romney,69.1,28.3,40.8,97.39999999999999,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-7,CA,7,Obama,Romney,50.8,46.8,4.0,97.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-8,CA,8,Obama,Romney,41.7,55.6,-13.899999999999999,97.30000000000001,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CA-9,CA,9,Obama,Romney,57.8,40.1,17.699999999999996,97.9,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CO-1,CO,1,Obama,Romney,69.0,28.8,40.2,97.8,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CO-2,CO,2,Obama,Romney,57.9,39.5,18.4,97.4,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CO-3,CO,3,Obama,Romney,45.8,51.8,-6.0,97.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CO-4,CO,4,Obama,Romney,39.2,58.5,-19.299999999999997,97.7,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CO-5,CO,5,Obama,Romney,38.3,59.1,-20.800000000000004,97.4,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CO-6,CO,6,Obama,Romney,51.6,46.5,5.100000000000001,98.1,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CO-7,CO,7,Obama,Romney,56.1,41.3,14.800000000000004,97.4,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CT-1,CT,1,Obama,Romney,63.3,35.6,27.699999999999996,98.9,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CT-2,CT,2,Obama,Romney,55.9,42.6,13.299999999999997,98.5,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CT-3,CT,3,Obama,Romney,62.6,36.3,26.300000000000004,98.9,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CT-4,CT,4,Obama,Romney,55.1,44.0,11.100000000000001,99.1,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,CT-5,CT,5,Obama,Romney,53.5,45.3,8.200000000000003,98.8,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,DE-AL,DE,AL,Obama,Romney,58.6,40.0,18.6,98.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,FL-1,FL,1,Obama,Romney,,,,,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,False,same_election_boundary_set,False,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,FL-10,FL,10,Obama,Romney,,,,,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,False,same_election_boundary_set,False,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,FL-11,FL,11,Obama,Romney,,,,,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,False,same_election_boundary_set,False,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,FL-12,FL,12,Obama,Romney,,,,,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,False,same_election_boundary_set,False,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,FL-13,FL,13,Obama,Romney,,,,,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,False,same_election_boundary_set,False,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,FL-14,FL,14,Obama,Romney,,,,,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,False,same_election_boundary_set,False,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,FL-15,FL,15,Obama,Romney,,,,,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,False,same_election_boundary_set,False,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,FL-16,FL,16,Obama,Romney,,,,,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,False,same_election_boundary_set,False,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,FL-17,FL,17,Obama,Romney,,,,,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,False,same_election_boundary_set,False,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,FL-18,FL,18,Obama,Romney,,,,,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,False,same_election_boundary_set,False,most_recent_completed_presidential_election_on_target_house_boundaries
