district_id,state,district,dem_candidate,gop_candidate,old_district_partisan_baseline_dem,new_district_partisan_baseline_dem,delta_district_partisan_baseline_dem,old_district_elasticity,new_district_elasticity,delta_district_elasticity,old_house_national_environment_used_dem,new_house_national_environment_used_dem,delta_house_national_environment_used_dem,old_district_environment_adjustment_dem,new_district_environment_adjustment_dem,delta_district_environment_adjustment_dem,old_state_environment_adjustment_dem,new_state_environment_adjustment_dem,delta_state_environment_adjustment_dem,old_incumbency_adjustment_dem,new_incumbency_adjustment_dem,delta_incumbency_adjustment_dem,old_candidate_quality_adjustment_dem_before_war,new_candidate_quality_adjustment_dem_before_war,delta_candidate_quality_adjustment_dem_before_war,old_candidate_war_adjustment_dem,new_candidate_war_adjustment_dem,delta_candidate_war_adjustment_dem,old_candidate_quality_adjustment_dem,new_candidate_quality_adjustment_dem,delta_candidate_quality_adjustment_dem,old_special_adjustment_dem,new_special_adjustment_dem,delta_special_adjustment_dem,old_poll_spillover_adjustment_dem,new_poll_spillover_adjustment_dem,delta_poll_spillover_adjustment_dem,old_fundamentals_margin_dem_before_poll_spillover,new_fundamentals_margin_dem_before_poll_spillover,delta_fundamentals_margin_dem_before_poll_spillover,old_fundamentals_margin_dem,new_fundamentals_margin_dem,delta_fundamentals_margin_dem,old_polling_margin_dem,new_polling_margin_dem,delta_polling_margin_dem,old_bayesian_polling_weight,new_bayesian_polling_weight,delta_bayesian_polling_weight,old_bayesian_model_margin_dem,new_bayesian_model_margin_dem,delta_bayesian_model_margin_dem,old_model_margin_dem,new_model_margin_dem,delta_model_margin_dem,old_pre_sim_dem_win_probability,new_pre_sim_dem_win_probability,delta_pre_sim_dem_win_probability,old_simulated_dem_win_probability,new_simulated_dem_win_probability,delta_simulated_dem_win_probability,old_dem_win_probability,new_dem_win_probability,delta_dem_win_probability,old_avg_simulated_margin_dem,new_avg_simulated_margin_dem,delta_avg_simulated_margin_dem,old_district_posterior_sd,new_district_posterior_sd,delta_district_posterior_sd,old_margin_dem,new_margin_dem,delta_margin_dem,abs_delta_margin,old_dem_probability,new_dem_probability,delta_dem_probability,abs_delta_probability,old_polling_blend_effect_dem,new_polling_blend_effect_dem,delta_polling_blend_effect_dem,primary_cause,snapshot_status
AR-2,AR,2,"Jones, Chris","Hill, French",-15.156,-15.156,0.0,0.7000000000000001,0.7000000000000001,0.0,5.4,5.4,0.0,3.7800000000000007,3.7800000000000007,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0581625,0.0581625,0.0,0.0581625,0.0581625,0.0,0.0,0.0,0.0,0.002700683702534,0.002700683702534,0.0,-12.817837499999998,-12.817837499999998,0.0,-12.815136816297464,-12.815136816297464,0.0,,,,0.0,0.0,0.0,-12.815136816297464,-12.815136816297464,0.0,-12.815136816297464,-12.815136816297464,0.0,0.1056603296294161,0.1056603296294161,0.0,0.0626,0.0626,0.0,0.1056603296294161,0.1505,0.044839670370583895,-12.864178553227266,-12.649830691792978,0.21434786143428752,6.75,6.75,0.0,-12.815136816297464,-12.815136816297464,0.0,0.0,0.0626,0.0626,0.0,0.0,0.0,0.0,0.0,No component change,matched
AR-3,AR,3,"Ryerse, Robb","Womack, Steve",-24.756,-24.756,0.0,0.7000000000000001,0.7000000000000001,0.0,5.4,5.4,0.0,3.7800000000000007,3.7800000000000007,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,0.0,-0.0571059782608695,-0.0571059782608695,0.0,-0.0571059782608695,-0.0571059782608695,0.0,0.0,0.0,0.0,0.0035615744656018,0.0035615744656018,0.0,-22.533105978260867,-22.533105978260867,0.0,-22.529544403795263,-22.529544403795263,0.0,,,,0.0,0.0,0.0,-22.529544403795263,-22.529544403795263,0.0,-22.529544403795263,-22.529544403795263,0.0,0.0228670867684454,0.0228670867684454,0.0,0.003,0.003,0.0,0.0228670867684454,0.0329,0.0100329132315546,-22.55540146205044,-22.523795468322973,0.03160599372746731,6.75,6.75,0.0,-22.529544403795263,-22.529544403795263,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,No component change,matched
AR-4,AR,4,"Russell, James","Westerman, Bruce",-38.796,-38.796,0.0,0.6000000000000001,0.6000000000000001,0.0,5.4,5.4,0.0,3.2400000000000007,3.2400000000000007,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,0.0,-0.084375,-0.084375,0.0,-0.084375,-0.084375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.140375,-37.140375,0.0,-37.140375,-37.140375,0.0,,,,0.0,0.0,0.0,-37.140375,-37.140375,0.0,-37.140375,-37.140375,0.0,0.0020455059722917,0.0020455059722917,0.0,0.0,0.0,0.0,0.0020455059722917,0.0013,-0.0007455059722916999,-37.17178638532333,-36.97386435305485,0.1979220322684796,6.75,6.75,0.0,-37.140375,-37.140375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No component change,matched
AZ-1,AZ,1,,,-2.026,-2.026,0.0,1.2000000000000002,1.2000000000000002,0.0,5.4,5.4,0.0,6.480000000000001,6.480000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0177622191608357,-0.0177622191608357,0.0,4.4540000000000015,4.4540000000000015,0.0,4.436237780839166,4.436237780839166,0.0,,,,0.0,0.0,0.0,4.436237780839166,4.436237780839166,0.0,4.436237780839166,4.436237780839166,0.0,0.6768587253997055,0.6768587253997055,0.0,0.70285,0.70285,0.0,0.6768587253997055,0.6428,-0.03405872539970545,4.39939203914499,4.564256059226315,0.16486402008132472,6.75,6.75,0.0,4.436237780839166,4.436237780839166,0.0,0.0,0.70285,0.70285,0.0,0.0,0.0,0.0,0.0,No component change,matched
AZ-2,AZ,2,,,-13.106,-13.106,0.0,0.95,0.95,0.0,5.4,5.4,0.0,5.13,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008619773735727,0.0008619773735727,0.0,-7.976,-7.976,0.0,-7.975138022626427,-7.975138022626427,0.0,,,,0.0,0.0,0.0,-7.975138022626427,-7.975138022626427,0.0,-7.975138022626427,-7.975138022626427,0.0,0.209293434813656,0.209293434813656,0.0,0.17135,0.17135,0.0,0.209293434813656,0.26155,0.052256565186344,-7.96008618745191,-7.954614883299974,0.005471304151936529,6.75,6.75,0.0,-7.975138022626427,-7.975138022626427,0.0,0.0,0.17135,0.17135,0.0,0.0,0.0,0.0,0.0,No component change,matched
AZ-3,AZ,3,,,42.594,42.594,0.0,0.75,0.75,0.0,5.4,5.4,0.0,4.050000000000001,4.050000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.644000000000005,46.644000000000005,0.0,46.644000000000005,46.644000000000005,0.0,,,,0.0,0.0,0.0,46.644000000000005,46.644000000000005,0.0,46.644000000000005,46.644000000000005,0.0,0.9995796489823344,0.9995796489823344,0.0,1.0,1.0,0.0,0.9995796489823344,0.99975,0.00017035101766560423,46.66398929635715,46.7817156275426,0.11772633118545173,6.75,6.75,0.0,46.644000000000005,46.644000000000005,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,No component change,matched
AZ-4,AZ,4,,,7.894000000000002,7.894000000000002,0.0,1.1,1.1,0.0,5.4,5.4,0.0,5.940000000000001,5.940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0082751620625258,-0.0082751620625258,0.0,13.834000000000003,13.834000000000003,0.0,13.825724837937477,13.825724837937477,0.0,,,,0.0,0.0,0.0,13.825724837937477,13.825724837937477,0.0,13.825724837937477,13.825724837937477,0.0,0.909231503704518,0.909231503704518,0.0,0.95175,0.95175,0.0,0.909231503704518,0.8708,-0.03843150370451798,13.7169691181602,13.991147261288765,0.27417814312856414,6.75,6.75,0.0,13.825724837937477,13.825724837937477,0.0,0.0,0.95175,0.95175,0.0,0.0,0.0,0.0,0.0,No component change,matched
AZ-5,AZ,5,,,-19.156,-19.156,0.0,1.0,1.0,0.0,5.4,5.4,0.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.755999999999998,-13.755999999999998,0.0,-13.755999999999998,-13.755999999999998,0.0,,,,0.0,0.0,0.0,-13.755999999999998,-13.755999999999998,0.0,-13.755999999999998,-13.755999999999998,0.0,0.0917321283226691,0.0917321283226691,0.0,0.0491,0.0491,0.0,0.0917321283226691,0.1339,0.042167871677330895,-13.615340331992982,-13.617328804853754,-0.0019884728607717506,6.75,6.75,0.0,-13.755999999999998,-13.755999999999998,0.0,0.0,0.0491,0.0491,0.0,0.0,0.0,0.0,0.0,No component change,matched
AZ-6,AZ,6,,,-0.7660000000000017,-0.7660000000000017,0.0,1.05,1.05,0.0,5.4,5.4,0.0,5.670000000000001,5.670000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006966938812879,0.0006966938812879,0.0,4.903999999999999,4.903999999999999,0.0,4.904696693881287,4.904696693881287,0.0,2.0,2.0,0.0,0.0735,0.0735,0.0,4.691201486881012,4.691201486881012,0.0,4.691201486881012,4.691201486881012,0.0,0.6860823372051996,0.6860823372051996,0.0,0.71775,0.71775,0.0,0.6936946608596593,0.6529,-0.040794660859659215,4.701512630815998,4.77565293881681,0.07414030800081228,6.62596875,6.62596875,0.0,4.691201486881012,4.691201486881012,0.0,0.0,0.71775,0.71775,0.0,0.0,-0.2134952070002747,-0.2134952070002747,0.0,No component change,matched
AZ-7,AZ,7,,,24.973999999999997,24.973999999999997,0.0,0.85,0.85,0.0,5.4,5.4,0.0,4.59,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.563999999999997,29.563999999999997,0.0,29.563999999999997,29.563999999999997,0.0,,,,0.0,0.0,0.0,29.563999999999997,29.563999999999997,0.0,29.563999999999997,29.563999999999997,0.0,0.9928063242594528,0.9928063242594528,0.0,0.9998,0.9998,0.0,0.9928063242594528,0.9929,9.367574054719441e-05,29.60235877636042,29.58643191598061,-0.01592686037980684,6.75,6.75,0.0,29.563999999999997,29.563999999999997,0.0,0.0,0.9998,0.9998,0.0,0.0,0.0,0.0,0.0,No component change,matched
AZ-8,AZ,8,,,-15.796,-15.796,0.0,0.85,0.85,0.0,5.4,5.4,0.0,4.59,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022663744722486,0.0022663744722486,0.0,-11.206,-11.206,0.0,-11.20373362552775,-11.20373362552775,0.0,,,,0.0,0.0,0.0,-11.20373362552775,-11.20373362552775,0.0,-11.20373362552775,-11.20373362552775,0.0,0.1338557268079898,0.1338557268079898,0.0,0.0892,0.0892,0.0,0.1338557268079898,0.1834,0.04954427319201021,-11.118544770379108,-11.212514529014236,-0.09396975863512758,6.75,6.75,0.0,-11.20373362552775,-11.20373362552775,0.0,0.0,0.0892,0.0892,0.0,0.0,0.0,0.0,0.0,No component change,matched
AZ-9,AZ,9,,,-29.746,-29.746,0.0,0.6000000000000001,0.6000000000000001,0.0,5.4,5.4,0.0,3.2400000000000007,3.2400000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.505999999999997,-26.505999999999997,0.0,-26.505999999999997,-26.505999999999997,0.0,,,,0.0,0.0,0.0,-26.505999999999997,-26.505999999999997,0.0,-26.505999999999997,-26.505999999999997,0.0,0.0119185789350307,0.0119185789350307,0.0,0.00055,0.00055,0.0,0.0119185789350307,0.0155,0.0035814210649693003,-26.49397836505215,-26.417972780517346,0.07600558453480488,6.75,6.75,0.0,-26.505999999999997,-26.505999999999997,0.0,0.0,0.00055,0.00055,0.0,0.0,0.0,0.0,0.0,No component change,matched
CA-1,CA,1,"McGuire, Mike","Gallagher, James",13.574,13.574,0.0,0.8999999999999999,0.8999999999999999,0.0,5.4,5.4,0.0,4.859999999999999,4.859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.433999999999997,18.433999999999997,0.0,18.433999999999997,18.433999999999997,0.0,,,,0.0,0.0,0.0,18.433999999999997,18.433999999999997,0.0,18.433999999999997,18.433999999999997,0.0,0.9557369863084144,0.9557369863084144,0.0,0.987,0.987,0.0,0.9557369863084144,0.93455,-0.021186986308414424,18.307438362972704,18.472478082093826,0.16503971912112192,6.75,6.75,0.0,18.433999999999997,18.433999999999997,0.0,0.0,0.987,0.987,0.0,0.0,0.0,0.0,0.0,No component change,matched
CA-10,CA,10,"DeSaulnier, Mark","Frese, Jeff",34.724,34.724,0.0,0.8500000000000001,0.8500000000000001,0.0,5.4,5.4,0.0,4.590000000000001,4.590000000000001,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,-0.2243918918918918,-0.2243918918918918,0.0,-0.2243918918918918,-0.2243918918918918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.58960810810811,40.58960810810811,0.0,40.58960810810811,40.58960810810811,0.0,,,,0.0,0.0,0.0,40.58960810810811,40.58960810810811,0.0,40.58960810810811,40.58960810810811,0.0,0.9988478062472772,0.9988478062472772,0.0,1.0,1.0,0.0,0.9988478062472772,0.99955,0.0007021937527228461,40.63833159721711,40.578274276338014,-0.06005732087909621,6.75,6.75,0.0,40.58960810810811,40.58960810810811,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,No component change,matched
CA-11,CA,11,"Weiner, Scott",,69.464,69.464,0.0,0.55,0.55,0.0,5.4,5.4,0.0,2.9700000000000006,2.9700000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.434,72.434,0.0,72.434,72.434,0.0,,,,0.0,0.0,0.0,72.434,72.434,0.0,72.434,72.434,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9999942845587168,1.0,5.715441283249412e-06,72.46305380195578,72.51790350145556,0.054849699499783355,6.75,6.75,0.0,72.434,72.434,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,No component change,matched
CA-12,CA,12,"Simon, Lateefah",,75.564,75.564,0.0,0.55,0.55,0.0,5.4,5.4,0.0,2.9700000000000006,2.9700000000000006,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.03399999999999,80.03399999999999,0.0,80.03399999999999,80.03399999999999,0.0,,,,0.0,0.0,0.0,80.03399999999999,80.03399999999999,0.0,80.03399999999999,80.03399999999999,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.999998389557562,1.0,1.6104424379603799e-06,80.0504691529481,80.09960732889094,0.04913817594284353,6.75,6.75,0.0,80.03399999999999,80.03399999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,No component change,matched
CA-13,CA,13,"Gray, Adam","Lincoln, Kevin",5.284000000000001,5.284000000000001,0.0,0.8999999999999999,0.8999999999999999,0.0,5.4,5.4,0.0,4.859999999999999,4.859999999999999,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.2168181818181818,0.2168181818181818,0.0,0.2168181818181818,0.2168181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.860818181818182,11.860818181818182,0.0,11.860818181818182,11.860818181818182,0.0,,,,0.0,0.0,0.0,11.860818181818182,11.860818181818182,0.0,11.860818181818182,11.860818181818182,0.0,0.8783399505012877,0.8783399505012877,0.0,0.9217,0.9217,0.0,0.8783399505012877,0.8352,-0.043139950501287605,11.779684513997102,12.02750535133364,0.24782083733653693,6.75,6.75,0.0,11.860818181818182,11.860818181818182,0.0,0.0,0.9217,0.9217,0.0,0.0,0.0,0.0,0.0,No component change,matched
