cycle_from,cycle_to,transition,race_id,state,district,dem_vote_total_from,gop_vote_total_from,actual_winner_from,party_structure_from,district_margin_from,dem_vote_total_to,gop_vote_total_to,actual_winner_to,party_structure_to,district_margin_to,district_swing_dem,national_common_district_margin_from,national_common_district_margin_to,national_swing_dem,raw_swing_ratio,same_boundary_era,eligible_for_elasticity_estimation
2012,2014,2012_to_2014,CA-12,CA,12,253709,44478,D,D_vs_R,70.1677135488804,160067,32197,D,D_vs_R,66.50751050638705,-3.6602030424933503,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.4979474011497145,True,True
2012,2014,2012_to_2014,CA-14,CA,14,203828,54455,D,D_vs_R,57.83307457323943,114389,34757,D,D_vs_R,53.39197832995856,-4.441096243280867,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.604182966606964,True,True
2012,2014,2012_to_2014,CA-16,CA,16,84649,62801,D,D_vs_R,14.817226178365548,46277,44943,D,D_vs_R,1.4623985967989477,-13.3548275815666,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.8168395604943264,True,True
2012,2014,2012_to_2014,CA-18,CA,18,212831,89103,D,D_vs_R,40.97849198831533,133060,63326,D,D_vs_R,35.50864114549917,-5.469850842816157,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.7441385027649949,True,True
2012,2014,2012_to_2014,CA-21,CA,21,49119,67164,R,D_vs_R,-15.518175485668584,33470,45907,R,D_vs_R,-15.668266626352722,-0.15009114068413787,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.02041894741127559,True,True
2012,2014,2012_to_2014,CA-22,CA,22,81555,132386,R,D_vs_R,-23.759354214479693,37289,96053,R,D_vs_R,-44.07013544119632,-20.310781226716628,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.763152920684544,True,True
2012,2014,2012_to_2014,CA-24,CA,24,156749,127746,D,D_vs_R,10.194555264591644,103228,95566,D,D_vs_R,3.8542410736742556,-6.340314190917388,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.8625595184712226,True,True
2012,2014,2012_to_2014,CA-26,CA,26,139072,124863,D,D_vs_R,5.383522458180992,87176,82653,D,D_vs_R,2.663267168740321,-2.720255289440671,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.3700734730054821,True,True
2012,2014,2012_to_2014,CA-27,CA,27,154191,86817,D,D_vs_R,27.955088627763395,75728,51852,D,D_vs_R,18.71453205831635,-9.240556569447044,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.257119092988524,True,True
2012,2014,2012_to_2014,CA-32,CA,32,124903,65208,D,D_vs_R,31.400076797239507,50353,34053,D,D_vs_R,19.311423358529016,-12.088653438710491,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.6445846018162213,True,True
2012,2014,2012_to_2014,CA-36,CA,36,110189,97953,D,D_vs_R,5.878678978774106,72682,61457,D,D_vs_R,8.368185240683172,2.4895062619090655,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.33868153183630706,True,True
2012,2014,2012_to_2014,CA-37,CA,37,207039,32541,D,D_vs_R,72.83496118206862,96787,18051,D,D_vs_R,68.56267089291,-4.272290289158619,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.5812179875667544,True,True
2012,2014,2012_to_2014,CA-38,CA,38,145280,69807,D,D_vs_R,35.08952191438813,58192,40288,D,D_vs_R,18.18034118602762,-16.90918072836051,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.3003867549168207,True,True
2012,2014,2012_to_2014,CA-39,CA,39,106360,145607,R,D_vs_R,-15.576246095718885,41906,91319,R,D_vs_R,-37.089885531994746,-21.51363943627586,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.92679414835633,True,True
2012,2014,2012_to_2014,CA-41,CA,41,103578,72074,D,D_vs_R,17.93546330243891,46948,35936,D,D_vs_R,13.286038318613967,-4.649424983824945,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.6325247699808147,True,True
2012,2014,2012_to_2014,CA-42,CA,42,84702,130245,R,D_vs_R,-21.18801378944577,38850,74540,R,D_vs_R,-31.47543875121263,-10.28742496176686,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.3995388957288468,True,True
2012,2014,2012_to_2014,CA-45,CA,45,121814,171417,R,D_vs_R,-16.916015018875903,56819,106083,R,D_vs_R,-30.241494886496177,-13.325479867620274,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.8128469902134976,True,True
2012,2014,2012_to_2014,CA-46,CA,46,95694,54121,D,D_vs_R,27.749557787938457,49738,33577,D,D_vs_R,19.397467442837424,-8.352090345101033,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.1362489001915081,True,True
2012,2014,2012_to_2014,CA-47,CA,47,130093,99919,D,D_vs_R,13.118445994122046,69091,54309,D,D_vs_R,11.978930307941653,-1.1395156861803937,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.15502387925352135,True,True
2012,2014,2012_to_2014,CA-48,CA,48,113358,177144,R,D_vs_R,-21.957163806101164,62713,112082,R,D_vs_R,-28.243942904545325,-6.2867790984441605,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.8552764088027507,True,True
2012,2014,2012_to_2014,CA-49,CA,49,114893,159725,R,D_vs_R,-16.325222672949334,64981,98161,R,D_vs_R,-20.338110357847764,-4.0128876848984305,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.5459279090811526,True,True
2012,2014,2012_to_2014,CA-50,CA,50,83455,174838,R,D_vs_R,-35.37958829701153,45302,111997,R,D_vs_R,-42.40014240395679,-7.020554106945262,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.9551018431488283,True,True
2012,2014,2012_to_2014,CA-51,CA,51,113934,45464,D,D_vs_R,42.95536957803736,56373,25577,D,D_vs_R,37.57901159243441,-5.376357985602951,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.7314193927224919,True,True
2012,2014,2012_to_2014,CA-52,CA,52,151451,144459,D,D_vs_R,2.3628806055895373,98826,92746,D,D_vs_R,3.1737414653498424,0.8108608597603051,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.11031247532558176,True,True
2012,2014,2012_to_2014,CA-53,CA,53,164825,103482,D,D_vs_R,22.862989038675845,87104,60940,D,D_vs_R,17.67312420631704,-5.189864832358804,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.7060481824611947,True,True
2012,2014,2012_to_2014,CO-1,CO,1,237579,93217,D,D_vs_R,43.64079372181042,183281,80682,D,D_vs_R,38.86870508366703,-4.772088638143387,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.6492123818903953,True,True
2012,2014,2012_to_2014,CO-2,CO,2,234758,162639,D,D_vs_R,18.147847115101523,196300,149645,D,D_vs_R,13.486247813958867,-4.661599301142656,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.6341810086098599,True,True
2012,2014,2012_to_2014,CO-3,CO,3,142619,185291,R,D_vs_R,-13.013326827483152,100364,163011,R,D_vs_R,-23.78623635500712,-10.772909527523968,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.4655859906605997,True,True
2012,2014,2012_to_2014,CO-4,CO,4,125800,200006,R,D_vs_R,-22.776130580775064,83727,185292,R,D_vs_R,-37.753838948178384,-14.97770836740332,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.037622194763903,True,True
2012,2014,2012_to_2014,CO-6,CO,6,156937,163938,R,D_vs_R,-2.181846513439813,118847,143467,R,D_vs_R,-9.385698056527673,-7.203851543087859,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.980038296374231,True,True
2012,2014,2012_to_2014,CO-7,CO,7,182460,139066,D,D_vs_R,13.496264687770196,148225,120918,D,D_vs_R,10.145907565866473,-3.3503571219037234,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.45579482952370315,True,True
2012,2014,2012_to_2014,CT-1,CT,1,192840,82321,D,D_vs_R,40.16521236657811,127430,78609,D,D_vs_R,23.69502861108819,-16.47018375548992,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.240664002048829,True,True
2012,2014,2012_to_2014,CT-2,CT,2,189444,88103,D,D_vs_R,36.51309507939196,131294,80837,D,D_vs_R,23.78577388500502,-12.727321194386938,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.7314712978396662,True,True
2012,2014,2012_to_2014,CT-3,CT,3,197163,73726,D,D_vs_R,45.56737261387506,130009,69454,D,D_vs_R,30.359013952462362,-15.208358661412696,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.0690007038638103,True,True
2012,2014,2012_to_2014,CT-4,CT,4,167320,117503,D,D_vs_R,17.49051165109559,101401,88209,D,D_vs_R,6.957438953641685,-10.533072697453907,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.4329577116151786,True,True
2012,2014,2012_to_2014,CT-5,CT,5,137631,128927,D,D_vs_R,3.265330622228558,106256,92404,D,D_vs_R,6.9727172052753446,3.7073865830467865,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.5043664224780015,True,True
2012,2014,2012_to_2014,DE-AL,DE,AL,249933,129757,D,D_vs_R,31.651083778872238,137251,85146,D,D_vs_R,23.42882323052919,-8.222260548343048,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.1185863800698388,True,True
2012,2014,2012_to_2014,FL-1,FL,1,92961,238440,R,D_vs_R,-43.89817773633755,54976,165086,R,D_vs_R,-50.03589897392553,-6.137721237587982,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.8349980325562492,True,True
2012,2014,2012_to_2014,FL-2,FL,2,157634,175856,R,D_vs_R,-5.4640319050046475,126096,123262,D,D_vs_R,1.1365185797127022,6.60055048471735,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.8979630151292253,True,True
2012,2014,2012_to_2014,FL-3,FL,3,102468,204331,R,D_vs_R,-33.20186832421227,73910,148691,R,D_vs_R,-33.594188705351726,-0.3923203811394558,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.05337269871055585,True,True
2012,2014,2012_to_2014,FL-5,FL,5,190472,70700,D,D_vs_R,45.859433629945016,112340,59237,D,D_vs_R,30.949952499460885,-14.909481130484131,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.0283403120603705,True,True
2012,2014,2012_to_2014,FL-6,FL,6,146489,195962,R,D_vs_R,-14.446738365488786,99563,166254,R,D_vs_R,-25.08906503346287,-10.642326667974084,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.4478210211240277,True,True
2012,2014,2012_to_2014,FL-7,FL,7,130479,185518,R,D_vs_R,-17.417570419972343,73011,144474,R,D_vs_R,-32.85881784950686,-15.44124742953452,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.1006837431643364,True,True
2012,2014,2012_to_2014,FL-8,FL,8,130870,205432,R,D_vs_R,-22.171143793376192,93724,180728,R,D_vs_R,-31.70098960838325,-9.529845815007057,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.2964750594020817,True,True
2012,2014,2012_to_2014,FL-9,FL,9,164891,98856,D,D_vs_R,25.037251608549102,93850,74963,D,D_vs_R,11.188119398387565,-13.849132210161537,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.8840865690147754,True,True
2012,2014,2012_to_2014,FL-10,FL,10,153574,164649,R,D_vs_R,-3.4802638401372623,89426,143128,R,D_vs_R,-23.092271042424557,-19.612007202287295,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.6680891481517266,True,True
2012,2014,2012_to_2014,FL-11,FL,11,120303,218360,R,D_vs_R,-28.95415206266997,90786,181508,R,D_vs_R,-33.31766399553424,-4.36351193286427,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.5936281134216554,True,True
2012,2014,2012_to_2014,FL-16,FL,16,161929,187147,R,D_vs_R,-7.224214784173074,105483,169126,R,D_vs_R,-23.175860951389065,-15.95164616721599,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.1701202531141925,True,True
2012,2014,2012_to_2014,FL-17,FL,17,116766,165488,R,D_vs_R,-17.261757140731397,82263,141493,R,D_vs_R,-26.470798548418813,-9.209041407687415,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.2528316551844372,True,True
2012,2014,2012_to_2014,FL-18,FL,18,166257,164353,D,D_vs_R,0.5759051450349354,151478,101896,D,D_vs_R,19.56870081381673,18.992795668781795,0.9449832650086638,-6.405598410972133,-7.350581675980797,-2.5838493477113245,True,True
2012,2014,2012_to_2014,FL-19,FL,19,109746,189833,R,D_vs_R,-26.733182232399468,80824,159354,R,D_vs_R,-32.69658336733589,-5.963401134936422,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.811282888594081,True,True
2012,2014,2012_to_2014,FL-22,FL,22,171021,142050,D,D_vs_R,9.253811435744607,125404,90685,D,D_vs_R,16.06699091578007,6.813179480035464,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.9268898408813848,True,True
2012,2014,2012_to_2014,FL-23,FL,23,174205,98096,D,D_vs_R,27.950319682997858,103269,61519,D,D_vs_R,25.33558268805981,-2.614736994938049,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.3557183785171888,True,True
2012,2014,2012_to_2014,FL-26,FL,26,135694,108820,D,D_vs_R,10.99078171393049,78306,83031,R,D_vs_R,-2.928652447981554,-13.919434161912044,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.8936507035077272,True,True
2012,2014,2012_to_2014,GA-1,GA,1,92399,157181,R,D_vs_R,-25.95640676336245,61175,95337,R,D_vs_R,-21.827080351666325,4.129326411696123,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.561768659096648,True,True
2012,2014,2012_to_2014,GA-2,GA,2,162751,92410,D,D_vs_R,27.567300645474816,96363,66537,D,D_vs_R,18.30939226519337,-9.257908380281446,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.2594796967610258,True,True
2012,2014,2012_to_2014,GA-6,GA,6,104365,189669,R,D_vs_R,-29.011610902140568,71486,139018,R,D_vs_R,-32.08110059666325,-3.06948969452268,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.4175845980397347,True,True
2012,2014,2012_to_2014,GA-7,GA,7,95377,156689,R,D_vs_R,-24.32378821419787,60112,113557,R,D_vs_R,-30.774058697867783,-6.4502704836699145,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.8775183744637798,True,True
2012,2014,2012_to_2014,GA-9,GA,9,60052,192101,R,D_vs_R,-52.36860160299501,34988,146059,R,D_vs_R,-61.34926289858434,-8.980661295589336,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.2217619899300058,True,True
2012,2014,2012_to_2014,GA-12,GA,12,139148,119973,D,D_vs_R,7.400017752324204,75478,91336,R,D_vs_R,-9.506396345630463,-16.906414097954666,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.3000103724034635,True,True
2012,2014,2012_to_2014,HI-1,HI,1,116505,96824,D,D_vs_R,9.22565614614047,93390,86454,D,D_vs_R,3.8566757856809235,-5.368980360459545,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.7304157136303306,True,True
2012,2014,2012_to_2014,HI-2,HI,2,168503,40707,D,D_vs_R,61.0850341761866,142010,33630,D,D_vs_R,61.70576178547028,0.6207276092836764,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.08444605293102223,True,True
2012,2014,2012_to_2014,IA-1,IA,1,222422,162465,D,D_vs_R,15.577818944261562,141145,147762,R,D_vs_R,-2.290356412271077,-17.86817535653264,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.4308518895749116,True,True
2012,2014,2012_to_2014,IA-2,IA,2,211863,161977,D,D_vs_R,13.344211427348599,143431,129455,D,D_vs_R,5.121552589726113,-8.222658837622486,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.118640564799292,True,True
2012,2014,2012_to_2014,IA-3,IA,3,168632,202000,R,D_vs_R,-9.003000280601784,119109,148814,R,D_vs_R,-11.087140708337843,-2.0841404277360596,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.28353408200963504,True,True
2012,2014,2012_to_2014,IA-4,IA,4,169470,200063,R,D_vs_R,-8.278827601323833,105504,169834,R,D_vs_R,-23.364010779478313,-15.08518317815448,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.0522434608743594,True,True
2012,2014,2012_to_2014,ID-1,ID,1,97450,199402,R,D_vs_R,-34.344387101990215,77277,143580,R,D_vs_R,-30.020782678384656,4.323604423605559,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.5881989499869962,True,True
2012,2014,2012_to_2014,ID-2,ID,2,110847,207412,R,D_vs_R,-30.341639985043628,82801,131492,R,D_vs_R,-22.72169412906628,7.619945855977349,0.9449832650086638,-6.405598410972133,-7.350581675980797,-1.0366452876616203,True,True
2012,2014,2012_to_2014,IL-1,IL,1,236854,83989,D,D_vs_R,47.644798234650594,162268,59749,D,D_vs_R,46.1761937148957,-1.4686045197548907,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.19979432710118591,True,True
2012,2014,2012_to_2014,IL-2,IL,2,188303,69115,D,D_vs_R,46.30134644818933,160337,43799,D,D_vs_R,57.0884116471372,10.787065198947872,0.9449832650086638,-6.405598410972133,-7.350581675980797,-1.467511779944754,True,True
2012,2014,2012_to_2014,IL-3,IL,3,168738,77653,D,D_vs_R,36.96766521504438,116764,64091,D,D_vs_R,29.124436703436455,-7.843228511607922,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.067021476305328,True,True
2012,2014,2012_to_2014,IL-4,IL,4,133226,27279,D,D_vs_R,66.00853555963988,79666,22278,D,D_vs_R,56.29365141646394,-9.714884143175944,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.321648349942275,True,True
2012,2014,2012_to_2014,IL-5,IL,5,177729,77289,D,D_vs_R,39.38545514434275,116364,56350,D,D_vs_R,34.74761744849867,-4.637837695844077,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.6309483929685394,True,True
2012,2014,2012_to_2014,IL-6,IL,6,132991,193138,R,D_vs_R,-18.442702120939874,78465,160287,R,D_vs_R,-34.27070767993567,-15.828005558995795,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.1532997328247285,True,True
2012,2014,2012_to_2014,IL-7,IL,7,242439,31466,D,D_vs_R,77.0241507091875,155110,27168,D,D_vs_R,70.19058800294056,-6.833562706246937,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.929662849482606,True,True
2012,2014,2012_to_2014,IL-8,IL,8,123206,101860,D,D_vs_R,9.48432904125901,84178,66878,D,D_vs_R,11.452706281114288,1.968377239855279,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.2677852347777139,True,True
2012,2014,2012_to_2014,IL-9,IL,9,194869,98924,D,D_vs_R,32.65734717981708,141000,72384,D,D_vs_R,32.15611292318074,-0.5012342566363372,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.06818974044927635,True,True
2012,2014,2012_to_2014,IL-10,IL,10,133890,130564,D,D_vs_R,1.2576856466531041,91136,95992,R,D_vs_R,-2.595015176777393,-3.8527008234304967,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.5241355029112613,True,True
2012,2014,2012_to_2014,IL-11,IL,11,148928,105348,D,D_vs_R,17.138856990042317,93436,81335,D,D_vs_R,6.9239175835808,-10.214939406461518,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.3896776958265042,True,True
2012,2014,2012_to_2014,IL-12,IL,12,157000,129902,D,D_vs_R,9.445036981268865,87860,110038,R,D_vs_R,-11.206783292403157,-20.651820273672023,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.809549119242516,True,True
2012,2014,2012_to_2014,IL-13,IL,13,136032,137034,R,D_vs_R,-0.36694425523499813,86935,123337,R,D_vs_R,-17.311862730178056,-16.94491847494306,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.3052486485951573,True,True
2012,2014,2012_to_2014,IL-14,IL,14,124351,177603,R,D_vs_R,-17.635798830285406,76861,145369,R,D_vs_R,-30.827521036763713,-13.191722206478307,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.794650109063392,True,True
2012,2014,2012_to_2014,IL-15,IL,15,94162,205775,R,D_vs_R,-37.212147884389054,55652,166274,R,D_vs_R,-49.84634517812244,-12.634197293733386,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.7188023819961964,True,True
2012,2014,2012_to_2014,IL-16,IL,16,112301,181789,R,D_vs_R,-23.628141045258253,63810,153388,R,D_vs_R,-41.24255287801913,-17.61441183276088,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.396328972211654,True,True
2012,2014,2012_to_2014,IL-17,IL,17,153519,134623,D,D_vs_R,6.557877713072027,110560,88785,D,D_vs_R,10.923273721437708,4.365396008365681,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.5938844299397845,True,True
2012,2014,2012_to_2014,IL-18,IL,18,85164,244467,R,D_vs_R,-48.32767549168616,62377,184363,R,D_vs_R,-49.43908567723109,-1.1114101855449334,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.1512003042122019,True,True
2012,2014,2012_to_2014,IN-1,IN,1,187743,91291,D,D_vs_R,34.56639692653942,86579,51000,D,D_vs_R,25.86077817108716,-8.70561875545226,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.1843441973985902,True,True
2012,2014,2012_to_2014,IN-2,IN,2,130113,134033,R,D_vs_R,-1.4840277725197428,55590,85583,R,D_vs_R,-21.24556395344719,-19.761536180927447,0.9449832650086638,-6.405598410972133,-7.350581675980797,2.688431616983651,True,True
2012,2014,2012_to_2014,IN-3,IN,3,92363,187872,R,D_vs_R,-34.081752814602034,39771,97892,R,D_vs_R,-42.21976856526445,-8.138015750662419,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.1071254098508543,True,True
2012,2014,2012_to_2014,IN-4,IN,4,93015,168688,R,D_vs_R,-28.915602801649197,47056,94998,R,D_vs_R,-33.74913765187886,-4.833534850229665,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.657571749188777,True,True
2012,2014,2012_to_2014,IN-5,IN,5,125347,194570,R,D_vs_R,-21.637799804324246,49756,105277,R,D_vs_R,-35.81237542974721,-14.174575625422968,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.9283610808299245,True,True
