race_id,state,district,region,district_type,college_share_tier,white_share_tier,black_share_tier,hispanic_share_tier,pres_2020_margin_dem,characteristics_elasticity_raw_prediction,characteristics_elasticity,characteristics_elasticity_model_alpha,characteristics_elasticity_prediction_mean_before_normalization,characteristics_model_training_match,characteristics_elasticity_method,characteristics_elasticity_limitations
CA-2,CA,2,Pacific,Mixed,High,High,Low,Low,28.4,0.7808710176013356,0.8410948999506004,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-3,CA,3,Pacific,Mixed,High,High,Low,Medium,14.0,0.7863246971859248,0.8469691890216088,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-4,CA,4,Pacific,Mixed,Medium,Medium,Low,Medium,21.1,0.847693591936642,0.9130710973098555,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-5,CA,5,Pacific,Rural,Medium,Medium,Low,Medium,-14.5,0.8947554149351087,0.9637625155007622,300.0,0.9283982314566384,False,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-6,CA,6,Pacific,Mixed,Medium,Medium,Low,Medium,12.6,0.8829235235619024,0.9510181015496044,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-7,CA,7,Pacific,Mixed,Medium,Low,Medium,Medium,19.6,0.8260149588137453,0.8897205216749975,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-8,CA,8,Pacific,Exurban,Medium,Low,Medium,Medium,42.6,1.0267829662647432,1.1059725573299952,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-9,CA,9,Pacific,Exurban,Low,Low,Medium,High,26.200000000000003,1.190788628809271,1.2826269896496327,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-10,CA,10,Pacific,Suburban,Very High,Medium,Low,Medium,38.6,0.8971223229595156,0.9663119688971709,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-11,CA,11,Pacific,Urban,Very High,Low,Low,Low,74.6,0.535394819736111,0.5766866002061284,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-12,CA,12,Pacific,Urban,Very High,Low,Medium,Medium,80.7,0.4097563719786209,0.4413584150582895,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-13,CA,13,Pacific,Mixed,Low,Low,Low,Very High,17.700000000000003,1.2058112678983597,1.2988082344862568,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-14,CA,14,Pacific,Suburban,Very High,Low,Low,Medium,45.5,0.8867540496528127,0.9551440530660137,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-15,CA,15,Pacific,Suburban,High,Low,Low,Medium,57.3,0.6930314053732471,0.7464807470452574,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-16,CA,16,Pacific,Suburban,Very High,Medium,Low,Medium,52.8,0.8382676136561393,0.9029181500495904,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-17,CA,17,Pacific,Urban,Very High,Low,Low,Medium,48.2,0.5905848733798913,0.6361331305567821,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-18,CA,18,Pacific,Mixed,Low,Low,Low,Very High,42.7,1.1021938219417116,1.1871993984869955,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-19,CA,19,Pacific,Mixed,High,Medium,Low,Medium,39.6,0.7173001165056493,0.7726211578195487,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-20,CA,20,Pacific,Rural,Low,Medium,Low,High,-26.200000000000003,1.0392809976397868,1.1194344866525388,300.0,0.9283982314566384,False,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-21,CA,21,Pacific,Mixed,Low,Low,Low,Very High,21.1,1.1917192952482556,1.2836294327903575,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-22,CA,22,Pacific,Rural,Low,Low,Low,Very High,17.0,1.1082231363413455,1.193693717622195,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-23,CA,23,Pacific,Rural,Low,Low,Low,High,-12.1,0.9990708998975693,1.0761232260535945,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-24,CA,24,Pacific,Mixed,High,Medium,Low,High,29.0,0.9296716557734842,1.0013716358710074,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-25,CA,25,Pacific,Mixed,Low,Low,Low,Very High,16.5,1.2107849053042787,1.3041654586142213,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-26,CA,26,Pacific,Suburban,High,Medium,Low,High,22.40000000000001,0.987888960333612,1.064078890783359,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-27,CA,27,Pacific,Mixed,Medium,Low,Medium,High,19.6,0.9944527009959614,1.0711488532627695,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-28,CA,28,Pacific,Mixed,High,Low,Low,Medium,32.7,0.7641286733670163,0.8230613194599838,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-29,CA,29,Pacific,Urban,Low,Low,Low,Very High,49.900000000000006,0.818235804224166,0.8813414077064432,300.0,0.9283982314566384,False,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-30,CA,30,Pacific,Mixed,Very High,Medium,Low,Medium,44.99999999999999,0.839733957967041,0.9044975846728134,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-31,CA,31,Pacific,Suburban,Medium,Low,Low,Very High,25.1,1.2784079269080137,1.3770038369226718,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-32,CA,32,Pacific,Suburban,Very High,Medium,Low,Medium,33.7,0.9174313423670186,0.9881873007530261,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-33,CA,33,Pacific,Suburban,Low,Low,Medium,Very High,25.9,1.1565612227945241,1.245759829787593,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-34,CA,34,Pacific,Urban,Medium,Low,Low,Very High,64.2,0.8313717493222126,0.8954904491985156,300.0,0.9283982314566384,False,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-35,CA,35,Pacific,Urban,Low,Low,Low,Very High,23.5,0.9276558271543865,0.9992003385216632,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-36,CA,36,Pacific,Urban,Very High,Medium,Medium,Medium,44.1,0.5432221710818219,0.5851176280565692,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-37,CA,37,Pacific,Urban,Medium,Low,High,Very High,73.3,0.7030234751152804,0.757243444994774,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-38,CA,38,Pacific,Urban,Medium,Low,Low,Very High,28.0,0.9814098110674392,1.057100043725446,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-39,CA,39,Pacific,Suburban,Low,Low,Medium,Very High,26.0,1.1561467530106975,1.245313394443596,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-40,CA,40,Pacific,Suburban,High,Medium,Low,Medium,-7.699999999999996,0.9442066230832002,1.0170275977386976,300.0,0.9283982314566384,False,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-41,CA,41,Pacific,Urban,Medium,Low,Low,Very High,25.799999999999997,0.9905281463116242,1.066921621293381,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-42,CA,42,Pacific,Urban,High,Medium,Low,Medium,19.700000000000003,0.5456634102051106,0.5877471452621958,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-43,CA,43,Pacific,Urban,Low,Low,High,Very High,63.8,0.6699929803935574,0.7216655069908435,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-44,CA,44,Pacific,Urban,Low,Low,Medium,Very High,53.10000000000001,0.7588469494840874,0.817372247999085,300.0,0.9283982314566384,False,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-45,CA,45,Pacific,Urban,Medium,Low,Low,High,10.1,0.8258369588350847,0.8895287936291767,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-46,CA,46,Pacific,Urban,Low,Low,Low,Very High,28.200000000000003,0.9081757473145367,0.9782178773538022,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-47,CA,47,Pacific,Suburban,Very High,Medium,Low,Medium,16.1,0.9903780243204989,1.066759921296506,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-48,CA,48,Pacific,Mixed,Medium,Medium,Low,High,7.200000000000003,1.0737426340707543,1.1565539417132167,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-49,CA,49,Pacific,Suburban,Very High,Medium,Low,Medium,15.200000000000005,0.9941082523749383,1.0707778393924794,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-50,CA,50,Pacific,Mixed,Very High,Medium,Low,Medium,21.09999999999999,0.9387922363015967,1.0111956318881072,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-51,CA,51,Pacific,Mixed,High,Medium,Low,Medium,22.9,0.7865165704046904,0.8471758602670554,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-52,CA,52,Pacific,Mixed,Low,Low,Low,Very High,33.3,1.1411539816214111,1.2291643208227176,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CO-1,CO,1,Mountain West,Urban,Very High,Medium,Low,Medium,61.3,0.5127408068632582,0.5522854196509811,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CO-2,CO,2,Mountain West,Suburban,Very High,Very High,Low,Low,39.900000000000006,0.7353953032433618,0.7921119174145143,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CO-3,CO,3,Mountain West,Rural,Medium,High,Low,Medium,-8.199999999999996,0.8262457515166836,0.8899691140302157,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CO-4,CO,4,Great Plains,Rural,High,Very High,Low,Low,-18.5,0.995766032367309,1.072563473979234,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CO-5,CO,5,Mountain West,Rural,High,High,Low,Medium,-10.1,0.7804041119863159,0.8405919847153063,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CO-6,CO,6,Mountain West,Suburban,High,Medium,Medium,Medium,23.800000000000004,0.7622044364621785,0.8209886777426266,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CO-7,CO,7,Mountain West,Suburban,Medium,Very High,Low,Low,14.200000000000005,0.7508153933218414,0.808721266243503,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CO-8,CO,8,Mountain West,Suburban,Medium,Medium,Low,High,4.5,1.1104772340036277,1.1961216602721345,300.0,0.9283982314566384,False,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CT-1,CT,1,Northeast,Suburban,High,Medium,Medium,Medium,28.09999999999999,0.8238135973938456,0.8873493824964515,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CT-2,CT,2,Northeast,Suburban,High,Very High,Low,Low,11.5,0.787720873698297,0.8484730442262677,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CT-3,CT,3,Northeast,Suburban,High,High,Medium,Low,19.700000000000003,0.8757793445423874,0.943322934995586,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CT-4,CT,4,Northeast,Suburban,Very High,Medium,Medium,Medium,31.200000000000003,0.9557802438832489,1.029493822261648,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CT-5,CT,5,Northeast,Suburban,High,High,Low,Medium,10.700000000000005,0.9049774774579681,0.9747729441902064,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
DE-AL,DE,AL,Mid-Atlantic,Mixed,High,High,Medium,Low,14.700000000000005,1.2077377162225071,1.300883258176387,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
FL-1,FL,1,Deep South,Rural,Medium,High,Medium,Low,-32.199999999999996,0.7162508683562706,0.7714909874747254,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
FL-2,FL,2,Deep South,Rural,Medium,High,Medium,Low,-10.9,0.6279688044012064,0.6764002592033548,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
FL-3,FL,3,Southeast,Rural,Medium,High,Medium,Medium,-14.0,0.7695482022231922,0.8288988239624137,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
FL-4,FL,4,Southeast,Rural,Low,Medium,High,Low,-6.700000000000003,0.7136907348632894,0.7687334062921715,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
FL-5,FL,5,Southeast,Mixed,Medium,High,Medium,Low,-15.700000000000005,0.9313135778784849,1.0031401895469712,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
FL-6,FL,6,Southeast,Mixed,Low,High,Medium,Low,-23.59999999999999,0.8916515666155364,0.9604192860390878,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
FL-7,FL,7,Southeast,Mixed,Medium,High,Medium,Medium,-5.5,0.8348076906417322,0.8991913839947062,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
